SeqIndex,HMDB_ID,Compound,Intercept,Slope
1,HMDB00190,L-Lactic acid,0.0313,1.2841
2,HMDB00115,Glycolic acid,0.0373,1.1743
3,HMDB00883,Valine,-0.0053,1.3842
4,HMDB00161,Alanine,-0.0062,0.4803
5,HMDB00123,Glycine,0.0272,1.6132
6,HMDB02329,Oxalate,-0.0194,0.5491
7,HMDB00687,Leucine,-0.0036,2.5788
8,HMDB00162,Proline,-0.0047,0.4619
9,HMDB00172,Isoleucine,-0.0235,1.6808
11,HMDB00294,Urea,-0.0244,1.1122
12,HMDB00187,Serine,-0.058,1.5627
14,HMDB02142,Phosphoric acid ,-0.0123,1.9932
18,HMDB00254,Succinic acid ,-0.0026,1.4629
20,HMDB00167,Threonine,-0.0194,1.0907
21,HMDB00191,Aspartic acid,0.0335,1.718
22,HMDB00744,Malic acid,0.1174,1.9023
23,HMDB00267,Pyroglutamic acid,-0.0426,1.4235
25,HMDB00562,Creatinine,-0.0079,0.7731
26,HMDB00943,Threonic acid,0.0113,2.4502
27,HMDB00694,2-Hydroxyglutaric acid,-0.0259,1.6948
28,HMDB00214,Ornithine,-0.1196,1.878
29,HMDB00148,Glutamic acid,-0.0053,0.7063
30,HMDB00159,Phenylalanine,-0.0381,1.4678
31,HMDB00182,Lysine,-0.1237,1.7339
32,HMDB00508,Ribitol,NA,NA
33,HMDB00226,Orotic acid ,-0.0594,1.441
35,HMDB00094,Citric acid,0.0489,2.1253
36,HMDB00158,Tyrosine,-0.2279,1.5277
37,HMDB00660,D-Fructose,-0.005,4.3655
38,HMDB00169,D-Mannose,0.0578,4.3557
39,HMDB00143,Galactose,0.1731,3.5942
40,HMDB00122,Glucose,0.0406,3.7831
46,HMDB00220,Palmitic acid,-0.0862,2.2333
47,HMDB00211,Myo-Inositol,0.072,5.1738
48,HMDB00215,N-Acetyl-D-glucosamine,-0.0755,3.3556
49,HMDB00673,Linoleic acid,-0.0557,0.7361
50,HMDB00827,Stearic acid,-0.0068,0.5903
51,HMDB00207,Oleic acid,-0.0095,0.5942
52,HMDB00186,Lactose,-0.1109,3.3966
53,HMDB00163,Maltose,-0.1316,3.0733
55,HMDB00067,Cholesterol,-0.0515,1.9129
