Serial_Number,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope
1,NA,Glyocolic acid-2TMS,NA,Glyocolic acid-2TMS,NA,,1004,42.05 43.05 44.05 45.05 47.05 58.05 59.05 66.05 72.05 73.05 74.05 75.05 81.1 85 86.1 87 88.1 89 90 91.1 95 98.9 100 101 102 103 103.9 104.9 106 113 115 116 117 118 119 120 131.05 132.05 133.05 134.05 135.05 147.05 148.05 149.05 149.95 150.85 161.05 162.05 163.05 164.05 175.1 177 178 179 190 205 205.9 207,6645 36160 14112 67032 11825 16640 20776 24616 6798 175232 16520 21736 4093 264 222 2248 6257 2876 543 258 557 162 172 1574 2127 5814 802 1159 236 358 1464 471 2586 455 1003 164 4352 981 9263 1307 833 119096 18200 11126 1131 349 7282 1289 704 223 180 9489 1798 922 220 4755 739 556 ,,
2,NA,Pyruvic acid-1TMS,NA,Pyruvic acid-1TMS,NA,,1037,42.15 43.1 44.1 45.1 47.1 55.1 56.1 58.1 59.1 60.1 72.1 73.1 74.1 74.8 75.4 77.3 84.2 86.3 89.2 91.1 98.05 99.25 99.95 100.55 101.15 102.05 103.05 113.55 115.25 115.95 117.15 118.25 143.1 158.2 159.1 174 176 189,21600 33696 12413 59832 11165 8014 6602 20144 55176 6760 22216 239104 59168 10135 15463 6040 3053 600 33432 1541 2544 10624 4765 2820 1906 587 925 628 17280 2208 2178 596 600 3391 1780 72232 2663 862 ,,
3,NA,Lactic acid,NA,Lactic acid,NA,,1058,41.9 43 43.9 44.9 47 55 58 58.9 61 65.9 73 74 75 87 87.95 116.95 118.05 132.95 147 148 148.9 189.95 190.95,1020 5026 1625 9147 2072 1280 3015 2591 1079 882 14822 1469 3064 542 922 4537 515 1327 9312 1087 761 922 1685 ,,
4,NA,Alanine,NA,Alanine,NA,,1097,42 43 44 45 47 56.9 58 58.9 61 72 73 74 74.9 86 87.1 99.95 101.15 101.85 102.95 115.95 116.95 118.05 130.95 132.95 147 148 149 190.05 203.95,2737 8436 4683 15041 2601 1500 3504 7134 1614 1493 29704 2639 4895 1589 742 2455 1185 1045 1162 21672 3271 906 761 1114 9326 1746 823 1934 562 ,,
5,NA,Glycine,NA,Glycine,NA,,1170,41 42.1 43 44 45 47 55 56 57 58 59 61 70 72 73 73.9 75 86 99.95 102.05 144.1 145 146 158 188.05 189.05 202.05,5415 4654 4309 3446 8433 2825 1975 3518 2359 2724 6700 1704 2639 1918 21920 2175 7469 937 3032 1122 6778 1098 1029 734 4319 721 1640 ,,
6,NA,Valine,NA,Valine,NA,,1207,41 42 43 44 45 46.9 55 57 58 59 73 73.9 75 81.9 83.8 85 86 86.9 98.05 98.95 100.05 100.95 101.95 102.95 112.05 113.95 114.95 116.95 117.95 128.05 129.05 129.95 130.95 131.95 132.95 133.95 144.1 145.1 146.1 147 148 149 155.9 158 160 202.95 218.05 219.05 220.05,7513 2555 19296 6415 27880 4522 3601 2649 5356 12031 76536 9090 10141 615 570 779 2333 553 901 709 8199 1678 932 1674 834 2450 1189 1317 528 1981 1038 1193 1160 2456 3121 557 49312 5837 2318 11214 1815 1044 609 619 547 1139 8013 2076 592 ,,
7,NA,Urea,NA,Urea,NA,,1236,43 44 45 47 56 57.9 59 69 69.9 70.9 72 73 74 75 85 85.9 86.9 98.95 99.95 100.95 101.85 114.85 115.85 116.95 129.95 130.85 131.95 132.85 146 147 148 149 171 172.9 189.05 190.05 191.05,10454 7349 13199 3060 3402 2723 4475 2237 2539 2089 3274 13174 4919 3886 791 979 1550 5006 2959 1529 1049 584 727 522 1382 1184 660 523 1255 20040 3223 1848 2263 1295 9851 1362 1071 ,,
8,NA,Phospheric acid,NA,Phospheric acid,NA,,1263,43 44 45 59 73 74 75 84.9 86.9 88.95 90.95 102.95 103.95 104.95 106.95 108.95 114.95 115.95 116.85 118.95 119.95 120.95 122.95 130.95 132.95 133.85 135 136 136.9 137.9 138.9 147 148.9 150.9 152.9 162.9 164.9 166.9 176.9 178.9 180.9 181.95 182.85 188.95 190.95 191.95 192.95 193.95 194.95 196.85 204.95 206.95 208.05 208.85 210.95 211.95 212.95 224.95 227.05 269 283.05 284.05 284.95 299.05 300.05 301.05 302.05 314.05 315.05 316.05,12720 8559 40536 6635 105552 9606 8293 635 685 1631 1190 5816 1309 3063 2098 861 5171 982 2055 4542 806 3116 1867 1958 22360 3370 7154 890 4883 581 760 4004 604 1258 555 507 1917 2426 944 1182 5607 883 1827 1321 4340 699 5625 866 2119 648 820 4019 797 583 29792 4316 2363 1015 502 645 4198 908 687 78736 20664 9167 1342 11870 3027 1459 ,,
9,NA,2-Methylsuccinic acid-2TMS,NA,2-Methylsuccinic acid-2TMS,NA,,1265,41.05 42.05 43.05 44.05 45.05 47.05 55.05 59.05 61.05 69.05 73.05 74.05 75.05 81 82 83.1 84.1 85.1 86.1 87 88 89 90.1 91 93 95 96 97 98.1 99 100.1 101 102 103 103.9 105 106 107 111 112.1 113 114 115 116 117 118 119 120 120.9 123 125.05 127.05 129.05 130.05 131.05 132.05 133.05 134.05 135.05 136.05 143.05 144.05 145.05 147.05 148.05 149.05 150.05 151.05 155.05 157.05 158.05 159.05 160.05 161.05 161.95 163.05 170 171.1 172 173 175 175.9 176.9 186.1 187 188 189 190 191 192 193.1 201.1 203 204.1 205.1 206.1 217.05 218.05 219.15 220.05 232.15 233.15 234.05 261.1 262.1 263.1 264 265 276.1 277,100792 36816 86920 38368 257088 97400 116816 46944 40056 96888 555264 61136 346944 241 338 3443 1363 10311 3776 4317 2341 4619 566 628 210 382 1869 3611 2169 26216 4221 8041 2179 4843 878 2322 295 283 756 215 2154 526 6652 4105 10933 1474 2619 254 189 3407 1088 2770 37920 5490 11507 2149 24392 3408 2278 283 64208 8638 5714 480128 79416 47800 4697 1461 195 3809 7120 5029 1045 307 584 584 1213 2431 453 521 1620 207 285 13021 8789 1590 1178 2659 1120 374 214 295 604 7388 1316 503 37248 7775 3369 419 11230 2178 932 44032 9927 4174 735 220 253 155 ,,
10,NA,Proline,NA,Proline,NA,,1291,41 42 43 44 45 45.9 46.9 55 58 59 70 72 73 74 75 83.9 84.9 86 97.95 98.95 99.95 100.95 101.95 112.95 114.95 126.05 126.95 130.95 132.95 142 143 144 147 148 148.9 169.9 216.05 217.05 218.05,6339 2978 14001 7538 30000 2325 4008 3498 5798 9904 2391 7042 70232 6536 8770 1293 1223 1049 900 1962 2096 1060 675 680 732 599 618 1231 2054 53344 7168 2250 7237 759 601 1356 3976 818 585 ,,
11,NA,Glycine-2,NA,Glycine-2,NA,,1298,43 44 45 47 58 59 73 74 75 84.9 86 86.9 88.05 99.95 101.05 101.95 102.95 105.05 112.95 113.95 114.95 115.95 116.95 117.95 118.95 129.95 130.95 132.95 133.95 135 144 147 148 149.1 158 158.9 159.9 172 174 175 176 177 188.05 202.05 204.05 248 249 250.1 276.05 277.05,13874 7104 43352 4641 5642 24208 115520 9576 8375 1037 23968 2771 1345 15602 3507 1838 1665 711 572 903 1362 2152 5854 774 1845 3439 3853 15921 2692 1331 1517 21896 4023 2110 3115 583 933 618 77648 14774 6734 1133 1384 1105 701 12827 2886 1663 1936 521 ,,
12,NA,Succinic acid,NA,Succinic acid,NA,,1303,43 44.1 45 47 55 55.9 58 58.9 61 72 73 74 75 76 85 86 87 88.95 98.95 100.85 102.95 104.95 112.95 114.85 115.85 116.95 128.95 129.85 130.95 132.95 133.95 147 148 149 156.9 171.9 173 247 248.1,14694 6928 44488 17200 19936 8309 7546 8187 7529 4211 73600 8868 65312 4623 1512 2175 730 1106 1104 905 625 611 881 1575 784 1193 14589 1519 1548 3286 610 68536 10759 5155 794 3454 2136 4744 940 ,,
13,NA,Nicotinic acid,NA,Nicotinic acid,NA,,1328,43.2 45.2 47.2 50.2 51.2 52.2 53.1 59.1 73.1 75.1 77.1 78.1 79.1 80.1 81.1 82.3 83.1 84.1 85.1 86.1 90.1 92.15 93.15 94.15 95.15 96.15 100.15 104.15 106.15 107.15 108.15 109.15 110.15 120.05 121.05 122.05 123.15 134.05 136.05 137.05 138.05 139.15 150.1 151.1 162.1 164 180.1 181.1 182.1 183.1 194.15 195.15 196.15 197.05,37832 82680 28360 43416 136704 17472 16864 18392 49480 39320 28760 300032 19144 1687 1437 1075 3369 1535 1203 1010 15179 2159 4283 2369 1261 843 692 1190 280704 20096 2702 2774 1326 4300 707 4626 768 1559 289984 38120 11960 955 1746 927 1219 1359 428096 59736 19712 1497 3339 10506 1760 578 ,,
14,NA,Uracil,NA,Uracil,NA,,1330,43 44 45 58 59 70 72 73 74 75 82 82.9 84 84.9 86 86.9 87.95 88.95 93.85 95.05 95.95 96.95 98.95 99.95 100.95 102.05 102.95 104.95 105.75 108.95 109.95 110.95 112.05 112.95 114.95 115.95 116.85 123.95 125.05 125.95 126.95 127.95 128.75 130.85 131.95 132.95 141.9 147 148 149 153 156 157 157.9 159 166.9 168.1 168.9 171.9 173.9 182.95 183.95 184.95 197.05 239.1 241 242 243 243.9 255 256 257 258,35664 11482 64600 7237 12228 13404 14166 78128 7781 7176 1050 1187 3468 9837 4613 1726 531 684 638 1689 3660 2248 91984 30776 11431 2232 1748 1634 513 4907 968 1274 819 6617 1433 657 2218 781 1062 9193 1938 1175 504 5362 1036 2405 614 30272 4545 2435 1894 870 1555 1335 505 834 560 2113 528 711 1746 792 934 504 736 37224 8034 4112 576 16528 14436 3385 1475 ,,
15,NA,Serine,NA,Serine,NA,,1346,43 44 45 47 58 59 73 74 75 84 85 86 86.9 88.05 88.95 98.05 99.95 101.05 102.05 102.95 103.95 104.95 112.85 114.05 114.95 115.95 116.95 117.95 118.95 129.95 130.95 131.95 132.95 133.95 135 144 147 148 149 150 158 159 160 163 172 174 174.9 188.05 188.95 189.95 190.95 204.05 205.05 206.05 206.95 216.05 217.95 219.05 219.95 221.05 278.05 279.05 280.05 306.05 307.05,23240 15136 78720 9718 10993 23312 240320 23328 30792 1102 1605 3594 1902 4519 3186 1065 44384 8843 3995 10372 1302 1360 701 3909 5462 10872 5102 1991 1764 2226 4679 6280 12963 2884 1658 1152 24696 3630 3160 651 1180 1381 903 764 1993 3267 906 7222 3027 2369 569 48584 9949 4087 578 1304 24992 5172 2516 838 3673 1102 543 1726 591 ,,
16,NA,L-Threonine,NA,L-Threonine,NA,,1371,43 44 45 47 57 58 59 73 74 75 82.9 83.9 85 86 87 88.05 88.95 96.05 97.95 98.95 100.05 101.05 102.05 102.95 104.05 105.05 112.05 113.05 113.95 114.95 115.95 116.95 117.95 118.95 119.75 128.05 128.95 129.95 130.95 131.95 132.95 133.95 134.9 144.1 144.8 147 148 149 158 159 160 161 171.9 174 176 176.9 186.05 188.05 189.05 189.95 190.95 202.05 203.05 203.95 204.95 218.05 219.05 219.95 220.95 230 232 248 291.05 292.15 293.05 294.05 320.05 321.05,23280 15249 73952 10295 29240 10175 24336 280320 24840 33296 1022 2688 2081 5171 3830 913 1035 672 2100 1252 24352 42376 8273 4859 982 938 1088 693 8331 5496 2210 42088 6005 4186 506 7308 6807 6648 7576 11459 12959 2490 1037 1572 632 28832 4795 3762 1894 2592 3637 889 1015 2637 992 2312 2131 1220 713 669 1133 4918 8654 2628 667 33424 26552 5902 2700 756 988 674 16688 12328 4054 1335 2700 681 ,,
17,NA,Fumaric acid,NA,Fumaric acid,NA,,1379,42.95 43.95 44.95 46.95 53 54 58 59 61 73 74 75 80.9 81.9 83 84 84.9 97.9 98.9 102.9 112.85 114.95 116.95 118.95 125.95 126.95 127.95 130.95 131.95 132.95 133.85 134.95 142.95 143.95 144.95 146.95 147.95 148.95 154.85 156.85 171 216.9 244.95 245.95 246.95,11914 4702 29920 10294 8721 4361 7027 6758 5688 72232 8302 41112 546 1709 15262 5240 2862 1186 1377 822 1134 3403 1318 528 793 2096 1053 962 609 5803 802 607 9124 1258 712 29784 5000 4004 2696 1608 674 672 27448 6636 3063 ,,
18,NA,Pyrmidine,NA,Pyrmidine,NA,,1390,43 44 45 54 55 58 59 69.9 72 73 75 81.1 82 82.9 83.9 85 85.9 86.9 89.05 93.05 94.95 95.95 97.05 97.95 98.95 99.95 101.05 101.95 102.95 104.85 106.05 106.65 109.05 109.95 110.95 112.95 113.95 114.95 115.95 116.85 119.95 122.95 126.95 127.95 130.95 131.95 132.95 134.05 139 140 141 142 144 147 148 149 154 157 158 159 173.9 180.9 182.15 182.95 183.85 184.95 196.95 239 255 256 257 258 270 271 272.1,24096 9583 46776 17360 6949 8537 21336 7471 12764 65968 8579 649 1315 2056 6670 2379 6210 1291 519 539 1086 882 874 1725 4541 19968 2962 1370 806 682 1035 516 792 2247 1484 29520 3018 1881 504 1743 2300 1341 1625 1055 6296 1327 2933 648 1582 2865 680 676 535 19392 3271 1297 694 997 4028 868 625 555 1374 1641 532 1836 1122 1666 45248 10138 4644 600 16295 3553 1339 ,,
19,NA,Malic acid,NA,Malic acid,NA,,1470,43 44 45 46.9 55 58 59 73 74 75 84.9 86.8 98.85 100.95 102.05 103.05 114.85 116.05 116.95 118.95 128.95 130.95 132.95 133.85 135 143 147 148 149 150.9 171 174.9 176 177 189.15 190.05 191.05 192.05 203.05 204.85 217.05 218.95 220.95 233 234.1 235.1 245 246 247.1 265 305.25 306.05 307.05 319.05 335.1 336.1,8790 5541 26784 5785 12334 3507 8715 103248 8931 15383 744 520 985 8307 749 1383 1139 648 2318 934 995 2721 11267 1270 771 1010 30568 4916 3417 566 1715 5028 771 2820 3373 3677 3021 628 654 539 2205 523 905 5939 1503 562 4533 842 969 1184 553 650 1109 703 1741 612 ,,
20,NA,Hydrocinnamic acid,NA,Hydrocinnamic acid,NA,,1492,43.2 45.2 47.2 51.2 61.1 65.2 73.1 74.2 75.1 76.1 77.1 78.1 79.1 80.1 85.1 86 87.1 88.1 89.1 91.1 92.15 93.05 100.15 101.05 102.15 103.15 104.15 105.15 106.15 115.15 116.05 117.05 129.05 130.15 131.15 132.05 133.05 135.05 136.15 137.05 145.1 146.1 147.1 149.1 161.2 162.1 163.1 164.1 179.1 189.1 190.15 191.15 205.15 207.15 208.15 209.15 210.05 222.15 223.15 224.05,21600 64456 33960 30024 24472 36688 202880 29392 396288 32536 67544 30720 17120 1040 785 516 1205 3596 9140 129240 10091 777 647 6423 6324 33504 399296 50560 3057 4099 8953 1756 3885 935 11977 11998 2348 3318 536 634 1543 514 1983 643 843 822 2907 574 545 8128 1355 957 4443 90128 15383 4438 511 35768 6273 2114 ,,
21,NA,Aspartic acid,NA,Aspartic acid,NA,,1503,43 44 45 47 58 59 70 73 74 75 82 82.9 84 84.9 86 87 87.95 89.05 97.95 99.05 100.05 100.95 101.95 102.95 103.95 104.95 112.05 113.05 114.05 114.95 116.05 116.95 117.95 118.95 127.95 128.95 129.95 130.95 131.95 132.95 133.95 135 142 143 144 145 147 148 149 150 157.9 159 159.9 161 163 164.1 172.1 173 174 175 176 176.9 184.05 188.05 189.05 190.05 190.85 201.95 202.95 204.05 205.05 216.05 217.05 218.05 218.95 219.95 220.95 232.1 233.1 234 235.1 243.9 245.1 246 292.05 306.05 306.95 308.05 334.1 335.1 349.1,32360 18016 88736 15336 10988 25584 8750 324224 31760 55392 714 967 2343 1308 3081 1208 854 1125 3300 3141 77632 10135 4101 5793 1001 835 507 501 1660 5559 2711 10535 2001 4511 2833 1386 8567 6341 4832 16002 2620 1712 3952 1376 1844 607 36664 6072 6621 956 964 744 627 519 1486 500 2842 1109 4941 1132 1105 1340 576 9167 2091 1604 821 10513 1781 4166 1050 6562 1765 16752 3562 1191 893 76768 15234 6526 1082 790 777 925 2068 4830 1178 722 1355 533 796 ,,
22,NA,Pyroglutamic acid,NA,Pyroglutamic acid,NA,,1514,41 43 44 45 47 55 57 58 59 72 73 74 75 80 81.9 82.9 84 85 86 86.9 87.95 93.65 96.05 97.05 98.05 98.95 99.95 100.95 101.95 102.85 104.95 109.95 110.95 112.05 112.95 113.95 114.95 115.85 116.95 119.05 121.55 125.95 126.85 130.95 131.95 132.95 133.95 140 141 141.9 147 148 149 154.1 156 157 158 167.9 174 213.95 230.1 231.1 232.1 258.1 259,8960 34744 17552 74272 12522 12469 6330 17728 22832 12902 174912 16952 29872 1227 1449 1325 4904 6009 7149 1851 804 1029 715 716 2513 2511 4259 1231 1312 1397 613 1089 571 7082 1605 2087 1289 520 1933 656 796 804 564 2646 611 5515 915 4676 1909 1388 28480 4521 2726 1381 115536 14930 5436 693 724 1194 10101 1790 1018 6537 1427 ,,
23,NA,p-Hydroxyphenylacetic acid-2TMS,NA,p-Hydroxyphenylacetic acid-2TMS,NA,,1622,43.05 45.05 47.05 59.05 61.05 73.05 74.05 75.05 80.05 81.1 82.1 83.1 84.1 85.1 86.1 87.1 89.1 90.1 91.1 92 93.1 94.1 95.1 96.1 97 98 99.1 100.1 101 102.1 103.1 104.1 105.1 106.1 107.1 108 109 110 111 112 113 113.9 115 116 117 118 119 120 121 122 123 124.05 125.05 126.05 127.05 128.05 129.05 130.15 131.05 133.05 133.95 135.05 136.05 137.05 138.05 139.05 140.45 141.05 143.05 144.05 145.05 147.05 148.05 149.05 150.05 151.05 152.05 153.05 153.95 155.05 157.05 159.05 161.05 162.05 163.05 164.05 165.05 166.05 167.1 168.1 169.1 171.1 172 173 175.1 176.1 177.1 178.1 179.1 180.1 181 182.1 183 187.1 189 191 192 193 194 195 196 197 203 204.1 205 206 207 208 209 210 211.05 211.95 217.05 217.95 219.05 220.15 221.05 222.05 223.05 224.05 225.05 226.05 227.05 233.05 234.05 235.05 236.15 237.05 238.05 239.05 239.95 246.95 248.95 250.05 252.05 253.05 254.2 255.1 256 265.1 266 267.2 268 268.9 279.1 281.1 282.1 283.1 284.1 285.1 296.1 297.15 298.15 299.15 300.15 369.1,142656 477248 142848 77184 73936 2285056 223936 645312 2233 5749 12673 11633 1693 9741 1904 5453 120624 64112 36360 4114 8198 1313 12345 3396 3938 1513 9495 1060 5009 10300 45560 21696 149824 16896 20264 3388 11892 1989 3385 576 1407 365 14132 6008 38120 7897 24728 4706 24928 3967 5770 803 1320 401 544 546 1723 1119 18608 73304 14355 62376 8875 14466 1870 833 242 261 1897 666 8636 298432 55136 142720 20840 11025 1186 667 167 221 597 2213 43896 10007 61224 424192 80392 21512 3442 280 167 325 163 694 7436 2348 38872 7913 71464 39632 11776 2641 574 251 1826 113656 19080 18288 3337 7327 1432 554 562 357 1820 6297 8380 7563 14084 3049 1444 271 210 161 1834 713 5537 1197 4573 1321 6814 1470 544 909 406 2510 2051 20480 4738 2098 376 286 1684 541 72824 19240 7128 1213 179 8377 2000 1583 407 151 313 169472 43264 16139 2635 542 167744 44608 17648 2874 584 237 ,,
