"hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","L-Lactic acid","10.159","609.55","1090.448","330775",759.313,"97.32",8688249,"10.121","10.21","NA"
"HMDB00161","Alanine","11.303","678.191","1126.26","82230",552.413,"93.43",1692527,"11.278","11.322","NA"
"HMDB02329","Oxalate (2TMS)","12.39","743.399","1162.984","1887397",764.251,"93.53",44231420,"12.345","12.454","NA"
"HMDB00172","Isoleucine (TMS)","13.305","798.311","1191.492","31463",576.011,"99.15",6838798,"13.115","13.496","NA"
"HMDB00294","Urea","14.958","897.458","1254.495","79669",656.386,"92.55",8658427,"14.875","15.066","NA"
"HMDB00267","Pyroglutamic acid","21.358","1281.462","1535.66","63516",588.181,"98.52",10124482,"21.167","21.447","NA"
"HMDB00508","Ribitol","25.546","1532.762","1759.321","7001852",732.925,"99.55",174990967,"25.438","25.591","NA"
"HMDB00226","Orotic acid ","25.692","1541.532","1767.549","48254",511.214,"98.63",8041481,"25.502","25.794","NA"
"HMDB00158","Tyrosine (2TMS)","28.12","1687.202","1910.776","35948",570.354,"90.25",7813657,"27.929","28.311","NA"
"HMDB00143","Galactose (1Z)","28.546","1712.751","1937.236","39784",612.385,"97.97",8071080,"28.381","28.737","NA"
"HMDB00220","Palmitic acid","30.306","1818.381","2050.408","273717",750.376,"97.24",6163015,"30.275","30.351","NA"
"HMDB00673","Linoleic acid","32.772","1966.339","2215.861","88763",664.403,"95.59",1742679,"32.741","32.791","NA"
"HMDB00207","Oleic acid","32.836","1970.152","2220.647","116212",704.977,"99.74",7998581,"32.753","32.874","NA"
"HMDB00827","Stearic acid","33.198","1991.888","2247.755","452895",708.338,"99.82",10695391,"33.154","33.243","NA"
"HMDB00186","Lactose","39.776","2386.57","2764.664","41014",555.741,"99.68",3120181,"39.738","39.871","NA"
"HMDB00067","Cholesterol","44.06","2643.589","3161.236","28157",684.051,"99.65",6120206,"43.869","44.25","NA"
