"SeqIndex","HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
1,"HMDB00190","L-Lactic acid","L-Lactic acid","9.986","599.172","1092.231","2579489",796.13,"99.95",59493254,"9.897","10.069","0.064"
2,"HMDB00115","Glycolic acid","Glycolic acid (2TMS)","10.412","624.748","1103.791","11002484",810,"99.41",355626941,"10.292","10.533","0.548"
4,"HMDB00161","Alanine","Alanine","11.144","668.646","1130.211","472047",548.012,"99.28",18825591,"11.1","11.195","0.088"
6,"HMDB02329","Oxalate","Oxalate (2TMS)","12.238","734.302","1166.655","4101787",802.739,"98.79",40549349,"12.181","12.34","0.177"
14,"HMDB02142","Phosphoric acid ","Phosphoric acid ","15.75","945.014","1292.814","2523233",790.112,"99.98",64533201,"15.693","15.788","0.068"
16,"HMDB00162","Proline","Proline (2TMS)","16.17","970.208","1309.822","2294707",810,"99.46",88813268,"16.119","16.291","0.706"
17,"HMDB00123","Glycine","Glycine (3TMS)","16.425","985.476","1321.255","774499",689.345,"98.56",27133974,"16.38","16.482","0.015"
22,"HMDB00744","Malic acid","Malic acid","20.579","1234.74","1507.985","19623138",810,"99.69",556387891,"20.509","20.693","0.498"
23,"HMDB00267","Pyroglutamic acid","Pyroglutamic acid","21.088","1265.28","1534.332","3918901",798.343,"99.97",122138248,"21.031","21.139","0.194"
24,"HMDB00191","Aspartic acid","Aspartic acid (3TMS)","21.196","1271.77","1539.848","13098847",810,"98.76",344295957,"21.145","21.247","0.496"
29,"HMDB00148","Glutamic acid","Glutamic acid","23.105","1386.29","1638.096","7814677",810,"100",215423730,"23.009","23.213","0.592"
32,"HMDB00508","Ribitol","Ribitol","25.319","1519.13","1759.795","18603710",810,"100",522187295,"25.249","25.414","ISTD"
35,"HMDB00094","Citric acid","Citric acid","26.846","1610.74","1848.82","19248992",810,"99.98",571873788,"26.776","26.992","0.492"
37,"HMDB00660","D-Fructose","D-Fructose","27.902","1674.11","1911.974","291019",698.784,"99.98",9259454,"27.863","27.94","0.005"
38,"HMDB00169","D-Mannose","D-Mannose (1Z)","28.226","1693.57","1932.208","22905446",795.847,"95.16",766572240,"28.15","28.417","0.324"
43,"HMDB00143","Galactose","Galactose (1E)","28.551","1713.04","1952.222","9950538",810,"99.98",297531987,"28.481","28.691","0.11"
